fname,lname,customerID,email,streetNumber,streetName,apptNum,city,state,country,zip
Frederick,Fritsch,98470,angelena.gulgowski@hotmail.com,62916,Walter Village,84,West Mora,Rhode Island,United States,66073
Shelby,Hickle,69436,kenia.stanton@yahoo.com,35871,Terry Gardens,18,Abshiremouth,Iowa,United States,75692
Jess,Hane,65267,angel.hammes@gmail.com,16513,Kessler Oval,27,Lake Wadeton,Arizona,United States,64311
Elliot,Wunsch,23086,melodi.pouros@hotmail.com,978,Piedad Port,72,Kelleyhaven,Louisiana,United States,13923
Jess,Hane,65267,angel.hammes@gmail.com,16513,Kessler Oval,27,Lake Wadeton,Arizona,United States,64311
Elliot,Wunsch,23086,melodi.pouros@hotmail.com,978,Piedad Port,72,Kelleyhaven,Louisiana,United States,13923
King,Senger,13544,kimber.oconner@gmail.com,4653,Julio Key,5,Simonismouth,Maine,United States,20027
Dalene,Nolan,12296,melania.rau@gmail.com,179,Migdalia Groves,56,Janiecemouth,Florida,United States,77571
Karina,Crona,48214,johnson.boyer@gmail.com,2982,Marquardt Drive,6,Khalilahview,Alabama,United States,82053
Simone,Muller,75538,guy.beier@yahoo.com,38,Usha Gateway,52,East Florinda,Georgia,United States,68948
Leonard,Dooley,82838,gerry.brown@gmail.com,42929,Ariel Branch,57,West Perry,New York,United States,65000
Wilburn,Hodkiewicz,61057,shemika.hane@hotmail.com,55373,Telma Drives,21,South Ambrose,North Carolina,United States,30173
Christian,Wiza,67241,julio.zemlak@hotmail.com,88381,Kristel Overpass,7,East Cleveland,Alabama,United States,39025
Lidia,Effertz,16504,katie.kessler@hotmail.com,970,Grady Forks,41,Nedchester,Minnesota,United States,74121
Brent,Waelchi,93985,trinidad.gerhold@hotmail.com,783,Jeffry Highway,9,Kirlinburgh,Kentucky,United States,68964
