name_first,name_last,c_ID,email,Street#,Str_Name,Apt#,City,State,Country,ZIP
Ricky,Bailey,67950,xXmetallicaFan1992Xx1@gmail.com,9741,Jefferson Ave.,5K,Sagaponack,Pennsylvania,Germany,73756
Rick,Bailey,62512,xXmetallicaFan1992Xx1@rit.edu,2897,Washington Ave.,232,Amagansett,New York,United Kingdom,20625
Aaron,Deever,100977,xXmetallicaFan1992Xx1@yahoo.com,2768,Washington Ave.,SUITE 544,Yaphank,New York,United States,65838
Matt,Nielsen,59575,xXmetallicaFan1992Xx1@aol.com,4374,Canal St.,1 FL,Quogue,Oregon,France,55384
Aaron,Colliton,84907,xXmetallicaFan1992Xx1@business.com,7854,Jefferson Ave.,6D,Quogue,Oregon,Australia,44271
Joel,Harwitt,50064,xXmetallicaFan1992Xx2@gmail.com,2149,Canal St.,3 FL,Commack,New Jersey,Spain,48556
Allan,Black,74426,xXmetallicaFan1992Xx2@rit.edu,5826,Washington Ave.,6D,Hauppague,Washington,Spain,46753
Patrick,Ryan,20756,xXmetallicaFan1992Xx2@yahoo.com,5809,Hicksville Road,232,Ronkonkoma,Oregon,Australia,44563
Joel,Ryan,69303,xXmetallicaFan1992Xx2@aol.com,2839,King Dr.,9F,Speonk,Pennsylvania,Canada,42750
Ricky,Harwitt,90074,xXmetallicaFan1992Xx2@business.com,2545,Harrison St.,6D,Yaphank,Pennsylvania,New Zealand,60044
Allan,White,44162,xXmetallicaFan1992Xx3@gmail.com,3371,Clark St.,2 FL,Mattituck,Pennsylvania,India,61286
Aaron,Tavares,67290,xXmetallicaFan1992Xx3@rit.edu,257,Jefferson Ave.,SUITE 345,Commack,Oregon,France,47082
Noah,Alexander-Parenteau,70080,xXmetallicaFan1992Xx3@yahoo.com,5505,Armstrong Ave.,SUITE 345,Wyandanch,Oregon,Mexico,53771
Ricky,Bailey,22663,xXmetallicaFan1992Xx3@aol.com,1127,Washington Ave.,8R,Copaigue,New Jersey,France,18792
Brian,Ryan,107610,xXmetallicaFan1992Xx3@business.com,2036,James Ct.,5G,Speonk,Delaware,Australia,62208
Joel,Nielsen,68127,xXmetallicaFan1992Xx4@gmail.com,9614,Canal St.,SUITE 345,Yaphank,West Virginia,Spain,38901
Josh,White,34354,xXmetallicaFan1992Xx4@rit.edu,9298,James Ct.,3 FL,Ronkonkoma,New Jersey,France,53833
Ricky,Barreiros,80722,xXmetallicaFan1992Xx4@yahoo.com,2256,Armstrong Ave.,SUITE 345,Hauppague,Maine,New Zealand,72635
Brian,Alexander-Parenteau,44722,xXmetallicaFan1992Xx4@aol.com,4524,149th St.,56H,Hauppague,Washington,China,69748
Brian,White,67932,xXmetallicaFan1992Xx4@business.com,2386,Jefferson Ave.,2 FL,Commack,Oregon,Germany,56855
Brian,Bailey,11125,xXmetallicaFan1992Xx5@gmail.com,4449,King Dr.,SUITE 345,Wyandanch,Maine,Denmark,36257
Michael,White,70389,xXmetallicaFan1992Xx5@rit.edu,6076,Harrison St.,5G,Quogue,Virginia,France,19724
Ricky,Nilsson,91298,xXmetallicaFan1992Xx5@yahoo.com,489,Hollis Lane,1F,Wantaugh,California,Sweden,74888
Ricky,Bailey,108321,xXmetallicaFan1992Xx5@aol.com,1294,Washington Ave.,7D,Wyandanch,Texas,Germany,65224
Isaiah,Bailey,12109,xXmetallicaFan1992Xx5@business.com,2635,Hicksville Road,SUITE 544,Sagaponack,Virginia,South Africa,65477
