Pay_ID,Cost,Type,Total,BillDate,TotPackagingNum,CardHolderName,CCV,ExpDate,isPrepaid
1914787157,12,Credit Card,null,null,null,Joel,719,4/2/2020,no
815317655,8,Credit Card,null,null,null,Michael,870,4/20/2021,no
2113365129,3,Contract,18,4/3/2019,91928,null,null,null,no
246772361,1,Prepaid,null,null,null,null,null,null,yes
940284845,15,Prepaid,null,null,null,null,null,null,yes
333392260,5,Credit Card,null,null,null,Ben,125,5/6/2020,no
1110402053,11,Prepaid,null,null,null,null,null,null,yes
1459613038,3,Prepaid,null,null,null,null,null,null,yes
1415533867,16,Contract,500,3/6/2019,27444,null,null,null,no
1993117220,14,Credit Card,null,null,null,Rick,331,2/2/2021,no
965740900,4,Prepaid,null,null,null,null,null,null,yes
1751512007,13,Prepaid,null,null,null,null,null,null,yes
572177871,12,Credit Card,null,null,null,Kevin,901,10/9/2020,no
2136442845,7,Prepaid,null,null,null,null,null,null,yes
1524281363,9,Contract,560,4/3/2019,60579,null,null,null,no
1010916050,18,Credit Card,null,null,null,Felix,202,9/10/2021,no
1944020070,2,Prepaid,null,null,null,null,null,null,yes
1463728685,17,Contract,283,1/1/2019,61218,null,null,null,no
1467329763,20,Contract,888,3/6/2019,56474,null,null,null,no
443404117,15,Credit Card,null,null,null,Kevin,174,9/10/2021,no
520287805,8,Contract,673,12/23/2019,88516,null,null,null,no
491354991,20,Prepaid,null,null,null,null,null,null,yes
1476709897,4,Prepaid,null,null,null,null,null,null,yes
655434358,13,Credit Card,null,null,null,Allan,546,3/3/2020,no
870044657,7,Credit Card,null,null,null,Isaiah,356,4/2/2020,no
2033180237,7,Credit Card,null,null,null,Felix,202,7/9/2020,no
140679487,8,Credit Card,null,null,null,Isaiah,819,3/3/2020,no
753224250,2,Contract,748,5/6/2019,53113,null,null,null,no
1479074146,8,Credit Card,null,null,null,Allan,244,7/9/2020,no
1840883651,5,Credit Card,null,null,null,Felix,1028,10/9/2020,no
1561594377,16,Credit Card,null,null,null,Ryan,631,3/3/2020,no
1296543640,12,Prepaid,null,null,null,null,null,null,yes
163128006,8,Prepaid,null,null,null,null,null,null,yes
970087371,20,Credit Card,null,null,null,Josh,768,2/2/2021,no
82489874,10,Prepaid,null,null,null,null,null,null,yes
1638990905,10,Prepaid,null,null,null,null,null,null,yes
468637913,16,Prepaid,null,null,null,null,null,null,yes
1858677419,1,Contract,945,9/10/2019,59997,null,null,null,no
1034239413,8,Contract,753,4/3/2019,100485,null,null,null,no
519207375,1,Prepaid,null,null,null,null,null,null,yes
1266871858,6,Contract,488,4/3/2019,93220,null,null,null,no
1381378263,2,Prepaid,null,null,null,null,null,null,yes
941391511,13,Prepaid,null,null,null,null,null,null,yes
2101925135,11,Prepaid,null,null,null,null,null,null,yes
2083039153,5,Credit Card,null,null,null,Josh,959,1/1/2020,no
854252420,16,Credit Card,null,null,null,Noah,223,1/1/2020,no
403390065,5,Prepaid,null,null,null,null,null,null,yes
782464588,15,Prepaid,null,null,null,null,null,null,yes
1618913813,7,Prepaid,null,null,null,null,null,null,yes
854246346,13,Credit Card,null,null,null,Patrick,607,10/9/2020,no
2128690155,13,Contract,870,12/23/2019,13162,null,null,null,no
1711608242,8,Contract,119,4/20/2019,107856,null,null,null,no
1698268842,2,Credit Card,null,null,null,Kevin,486,4/2/2020,no
877212276,3,Prepaid,null,null,null,null,null,null,yes
343266212,16,Prepaid,null,null,null,null,null,null,yes
423981339,19,Prepaid,null,null,null,null,null,null,yes
96805151,12,Credit Card,null,null,null,Patrick,1084,12/23/2021,no
1549028968,12,Contract,433,9/10/2019,35920,null,null,null,no
1643444046,13,Prepaid,null,null,null,null,null,null,yes
1834432913,8,Credit Card,null,null,null,Rick,703,1/1/2020,no
1843224694,4,Credit Card,null,null,null,Josh,229,3/3/2020,no
197777325,1,Prepaid,null,null,null,null,null,null,yes
321467639,6,Prepaid,null,null,null,null,null,null,yes
1915375201,17,Credit Card,null,null,null,Kevin,362,5/6/2020,no
1173601556,6,Contract,920,7/9/2019,68797,null,null,null,no
944820510,10,Contract,690,6/30/2019,90329,null,null,null,no
846180450,10,Prepaid,null,null,null,null,null,null,yes
1039338456,7,Prepaid,null,null,null,null,null,null,yes
1052663288,11,Contract,522,1/1/2019,90044,null,null,null,no
851172010,12,Contract,618,2/2/2019,44684,null,null,null,no
407834771,11,Contract,66,5/6/2019,47595,null,null,null,no
967324573,12,Prepaid,null,null,null,null,null,null,yes
874944264,7,Contract,957,10/9/2019,102337,null,null,null,no
1537910341,6,Contract,670,5/6/2019,67540,null,null,null,no
385385322,3,Credit Card,null,null,null,Ben,285,9/10/2021,no
1703740586,18,Prepaid,null,null,null,null,null,null,yes
1410841223,8,Contract,654,10/9/2019,38217,null,null,null,no
1792905583,5,Contract,969,4/3/2019,20610,null,null,null,no
738859367,18,Prepaid,null,null,null,null,null,null,yes
2050660585,13,Contract,12,3/3/2019,100120,null,null,null,no
1871466404,16,Contract,151,4/3/2019,96123,null,null,null,no
997526879,18,Prepaid,null,null,null,null,null,null,yes
1641798540,17,Prepaid,null,null,null,null,null,null,yes
1081295463,10,Credit Card,null,null,null,Felix,965,12/23/2021,no
46587947,18,Credit Card,null,null,null,Brian,813,7/9/2020,no
1359421388,7,Contract,414,9/10/2019,86442,null,null,null,no
831855968,9,Credit Card,null,null,null,Ryan,1017,4/20/2021,no
1371292215,7,Contract,529,1/1/2019,46624,null,null,null,no
1845800798,14,Prepaid,null,null,null,null,null,null,yes
831514199,3,Contract,758,3/3/2019,100799,null,null,null,no
1985850639,5,Prepaid,null,null,null,null,null,null,yes
820368102,4,Contract,648,3/25/2019,101865,null,null,null,no
357288927,11,Credit Card,null,null,null,Aaron,213,7/9/2020,no
2070324888,12,Prepaid,null,null,null,null,null,null,yes
1750508463,2,Credit Card,null,null,null,Ryan,596,5/6/2020,no
1777279126,1,Contract,66,4/2/2019,98475,null,null,null,no
156962500,19,Contract,829,3/25/2019,47183,null,null,null,no
858756291,11,Credit Card,null,null,null,Brian,479,12/23/2021,no
364951453,7,Credit Card,null,null,null,Ricky,614,4/3/2021,no
62089401,12,Contract,925,9/10/2019,103589,null,null,null,no
72989133,6,Prepaid,null,null,null,null,null,null,yes
1423645431,1,Prepaid,null,null,null,null,null,null,yes
1576145670,18,Contract,368,6/30/2019,78401,null,null,null,no
891755372,14,Credit Card,null,null,null,Josh,560,4/20/2021,no
1271760561,7,Credit Card,null,null,null,Michael,978,3/6/2021,no
1455819555,20,Prepaid,null,null,null,null,null,null,yes
580636802,19,Prepaid,null,null,null,null,null,null,yes
792688749,1,Contract,955,5/6/2019,56935,null,null,null,no
1102649748,9,Prepaid,null,null,null,null,null,null,yes
731563413,10,Prepaid,null,null,null,null,null,null,yes
276783066,14,Prepaid,null,null,null,null,null,null,yes
697090491,12,Prepaid,null,null,null,null,null,null,yes
2108811414,13,Prepaid,null,null,null,null,null,null,yes
894041632,12,Contract,461,4/2/2019,28936,null,null,null,no
1127625962,3,Prepaid,null,null,null,null,null,null,yes
968277449,2,Credit Card,null,null,null,Ryan,504,3/3/2020,no
1130089093,6,Contract,420,6/30/2019,87066,null,null,null,no
569534954,11,Prepaid,null,null,null,null,null,null,yes
1546797730,6,Credit Card,null,null,null,Aaron,464,4/2/2020,no
789373790,5,Credit Card,null,null,null,Allan,120,4/20/2021,no
2133425842,18,Contract,280,7/9/2019,29865,null,null,null,no
1434009552,3,Credit Card,null,null,null,Felix,1004,2/2/2021,no
1237574694,9,Contract,818,4/3/2019,18635,null,null,null,no
114764044,7,Contract,111,5/6/2019,45714,null,null,null,no
2007277537,19,Contract,330,9/10/2019,47897,null,null,null,no
1552553334,20,Credit Card,null,null,null,Michael,681,4/3/2020,no
265942549,20,Prepaid,null,null,null,null,null,null,yes
27923018,1,Contract,235,7/9/2019,34310,null,null,null,no
99914842,6,Contract,319,4/20/2019,102105,null,null,null,no
642990830,6,Contract,830,3/6/2019,104977,null,null,null,no
