workerID,name,DOB,phone #,location,bank #
192343856,Jeff,6/19/1980,765528771,NYC,346751178
652337451,Patrick!,2/20/1999,258039746,NYC,870163765
1549715730,Patrick!,6/19/1980,937399710,The Big Apple,1482347221
449645353,Jeff,6/19/1980,664382070,McMurdo Station,595571161
2147064663,Patrick!,1/19/1999,277851382,McMurdo Station,729000524
971796006,Jeremy,8/11/1955,495257925,McMurdo Station,1288203399
485929932,Jeremy,6/19/1980,153437457,Seaford,1617971000
1526898243,Jeff,8/11/1955,674664732,Seaford,1535264717
1748229902,Joe,1/19/1999,289642820,NYC,85556809
898608113,Jerry,6/11/1945,226632621,NYC,2089886596
557626552,Joe,8/11/1955,384838706,NYC,228580582
1536387376,Jeremy,1/19/1999,842452190,Seaford,1938250875
757121568,Jerry,5/5/1955,1099966498,NYC,1772530643
1755216003,Jeremiah,6/11/1945,618016008,The Big Apple,590082731
789352081,Patrick!,8/11/1955,763975374,Seaford,187719702
214225054,Joe,6/11/1945,446679315,McMurdo Station,708062608
1597786220,Jerry,6/19/1980,688455359,The Big Apple,1962930938
935897101,Jeremy,1/19/1999,960474528,Seaford,2113513725
599679087,Jeremy,5/23/1977,448761851,The Big Apple,1277425686
354914595,Jeff,6/19/1980,913266366,NYC,1765509169
851171030,Jerry,8/11/1955,529357583,NYC,1706894206
536885408,Joe,2/20/1999,131739972,Seaford,1675729361
2063150525,Jerry,6/11/1945,906286762,McMurdo Station,28774980
98451634,Jeremiah,2/20/1999,134023257,NYC,576955604
1257749710,Jeremy,6/19/1980,485698788,McMurdo Station,891655327
456318444,Jeff,6/11/1945,294615515,McMurdo Station,1628392756
2015079379,Jeff,6/19/1980,405915348,Seaford,1700510518
988624169,Patrick!,6/19/1980,248928679,Seaford,1224189627
808422523,Jeremy,8/11/1955,224586951,NYC,360908817
1590773540,Jerry,5/23/1977,864126532,McMurdo Station,188386554
922095408,Jeremy,5/23/1977,428088977,Seaford,139864058
1714487814,Patrick!,6/19/1980,356389479,Seaford,530012429
730041219,Jeff,6/19/1980,493397665,McMurdo Station,393382412
1183949053,Joe,6/19/1980,183643439,The Big Apple,989788262
2000761429,Jeremy,2/20/1999,743940004,The Big Apple,2036945271
452583226,Patrick!,8/11/1955,299683766,NYC,279405458
1008215674,Jeremiah,6/19/1980,648537594,The Big Apple,142737535
1609627092,Joe,5/23/1977,243745546,The Big Apple,1102112881
1516965952,Patrick!,5/23/1977,133433641,The Big Apple,365863922
144534294,Patrick!,6/19/1980,471761936,Seaford,927846666
578613476,Jeremiah,5/5/1955,480269270,NYC,241318756
72297967,Joe,5/5/1955,1063886142,NYC,535826106
580267140,Jeff,2/20/1999,449748965,NYC,1814160557
1219844450,Jeff,6/11/1945,613385493,The Big Apple,462053675
54483944,Jerry,5/5/1955,244283570,Seaford,1969256495
842764764,Jeff,5/23/1977,1005859733,Seaford,613734667
598287106,Joe,8/11/1955,839086555,NYC,505057193
1230553484,Jeremiah,5/5/1955,1099494567,NYC,53985334
262794644,Patrick!,6/11/1945,503074569,NYC,332884576
1455673589,Jeremiah,5/23/1977,358347704,Seaford,1411138436
900020550,Patrick!,2/20/1999,683005708,McMurdo Station,1929252749
1300684286,Jeff,1/19/1999,384040600,Seaford,1798987317
380854983,Joe,6/11/1945,369318845,The Big Apple,771160888
192261637,Patrick!,5/5/1955,155821369,NYC,1862689639
1036938112,Jerry,8/11/1955,774271209,NYC,483021215
290795144,Joe,6/11/1945,253612544,The Big Apple,1769160659
2091763135,Joe,6/19/1980,353089181,Seaford,1724060296
1298371589,Jeff,5/23/1977,532923535,Seaford,878089343
404557596,Joe,8/11/1955,832247483,McMurdo Station,2068731886
962596860,Patrick!,8/11/1955,964332635,NYC,81314519
754721600,Jeremiah,5/5/1955,376344542,Seaford,1872550564
385774847,Jeremy,8/11/1955,198041813,McMurdo Station,1898500909
1268303105,Patrick!,2/20/1999,546882478,The Big Apple,450792338
1822161625,Jeremiah,5/5/1955,708312714,McMurdo Station,989655103
1050028125,Patrick!,6/11/1945,785810809,McMurdo Station,1278153079
1310422292,Jeremy,2/20/1999,863397986,McMurdo Station,364801296
1547572579,Jerry,6/19/1980,192122208,Seaford,1512878348
907459359,Jeff,1/19/1999,895239408,Seaford,1760073205
1024168678,Patrick!,6/19/1980,333357062,Seaford,1414338736
2132935577,Jeremy,6/11/1945,491729395,McMurdo Station,874304080
260812614,Jerry,8/11/1955,749322717,Seaford,539459783
1822102338,Joe,1/19/1999,1056496623,McMurdo Station,1915486768
1622015598,Jerry,5/23/1977,446657953,The Big Apple,559781658
105325659,Jeff,6/11/1945,681382229,The Big Apple,922481032
57271696,Jeff,5/23/1977,431316059,NYC,230950336
1302223929,Patrick!,5/5/1955,138189597,The Big Apple,402250346
807811063,Patrick!,2/20/1999,208628636,The Big Apple,1013226762
302304003,Joe,5/5/1955,869895177,McMurdo Station,233711694
829334472,Patrick!,6/11/1945,1017370793,NYC,408093761
1451676853,Jerry,6/19/1980,895531776,The Big Apple,1622026233
212001340,Jeremiah,6/19/1980,1040028341,NYC,835608049
1523075733,Joe,1/19/1999,599312431,McMurdo Station,1812099680
1680454769,Jerry,2/20/1999,684655695,Seaford,1369885384
609382767,Jeff,1/19/1999,870334517,The Big Apple,1441485901
1923142811,Patrick!,6/19/1980,836195332,McMurdo Station,1608167697
692124434,Jeremiah,8/11/1955,542424651,McMurdo Station,1094852972
1019794173,Jerry,6/11/1945,1010578757,The Big Apple,804384519
554770586,Patrick!,5/5/1955,954164437,Seaford,907570885
950681246,Jeremy,5/5/1955,730865848,The Big Apple,1830464333
921196350,Jerry,6/19/1980,944978844,The Big Apple,1878394747
