name_first,name_last,c_ID,email_pre,email#,email_post,phone#,Street#,Str_Name,Apt#,City,State,ZIP
Ricky,Alexander-Parenteau,85123,issecosa,2,rit.edu,2114193292,1395,Canal St.,88,Sagaponack,Texas,18121
Felix,Nielsen,21197,ehofallat,27,rit.edu,-1390319422,1643,King Dr.,81,Hauppague,New York,37819
Isaiah,Barreiros,24670,ehofallat,95,yahoo.com,1465887920,206,Washington Ave.,41,Copaigue,Maine,44307
Rick,Nelson,59579,xXmetallicaFan1992Xx,52,yahoo.com,1609706415,5212,Joy Ct.,45,Ronkonkoma,Washington,42221
Felix,Alexander-Parenteau,89520,helloWorld,50,gmail.com,-1843373293,7629,Clark St.,51,Northampton,California,75038
Felix,Passino,26681,password1,67,yahoo.com,-2027043914,4564,Harrison St.,8,Sagaponack,Virginia,27497
Kevin,Tavares,95765,password1,16,gmail.com,1229157279,5475,James Ct.,85,Commack,Pennsylvania,14840
Noah,White,13898,ehofallat,34,yahoo.com,1303580011,4813,King Dr.,7,Yaphank,Pennsylvania,13894
Isaiah,White,58917,ehofallat,16,rit.edu,2093374828,6931,Jefferson Ave.,36,Speonk,Florida,75266
Rick,Alexander-Parenteau,41142,ehofallat,37,gmail.com,1506178231,48,Hicksville Road,94,Sagaponack,Delaware,24194
Michael,Nunes,99788,xXmetallicaFan1992Xx,80,rit.edu,-1046513027,4010,King Dr.,49,Quogue,Washington,49242
Michael,Barzal,68402,xXmetallicaFan1992Xx,83,gmail.com,1276585422,1818,149th St.,33,Copaigue,Washington,77940
Noah,Poulin,95306,ehofallat,68,ymail.com,-2097671434,9545,Joy Ct.,77,Commack,California,54073
Matt,Nilsson,77187,qedoffifa,17,rit.edu,-1354770240,8195,Washington Ave.,2,Copaigue,Georgia,12148
Noah,Nelson,104001,oduderrac,81,yahoo.com,-1235492070,2773,Armstrong Ave.,59,Copaigue,Washington,23466
Ricky,Passino,65813,adsdf,80,rit.edu,2046037870,5552,James Ct.,32,Speonk,West Virginia,43832
Noah,Nilsson,53899,issecosa,23,rit.edu,1412711048,4596,Canal St.,5,Wyandanch,Washington,43224
Noah,Nunes,17624,issecosa,98,yahoo.com,1271917885,806,King Dr.,58,Sagaponack,Oregon,67183
Ben,Bailey,63023,issecosa,63,gmail.com,1207009858,830,Joy Ct.,45,Speonk,Oregon,30101
Brian,Nelson,105822,helloWorld,87,ymail.com,2076883086,2208,Joy Ct.,77,Copaigue,Florida,72306
Joel,Nilsson,40420,adsdf,24,yahoo.com,1828514622,5280,Washington Ave.,19,Wantaugh,Texas,22256
Noah,Ryan,73062,adsdf,88,yahoo.com,-1183662169,2461,Clark St.,9,Speonk,Washington,35092
Isaiah,Tavares,33485,oduderrac,28,gmail.com,2078916686,9833,Washington Ave.,4,Copaigue,Washington D.C.,29925
Brian,Alexander-Parenteau,104031,qedoffifa,74,yahoo.com,1788161349,3215,Hollis Lane,28,Wyandanch,Virginia,75384
Ricky,Tavares,15152,ehofallat,37,ymail.com,1926239316,8263,Hicksville Road,78,Northampton,Washington D.C.,33768
Isaiah,Nelson,70393,helloWorld,58,rit.edu,-1678246720,3106,Washington Ave.,79,Yaphank,New York,45416
Ben,Deever,84823,helloWorld,57,rit.edu,-1966427946,1186,Armstrong Ave.,11,Quogue,Florida,64851
Ricky,Nilsson,87308,ehofallat,67,ymail.com,1387174477,8007,Jefferson Ave.,3,Mattituck,Maine,28960
Noah,Nunes,27234,pdefran,17,ymail.com,1839888682,722,Hollis Lane,44,Wantaugh,Florida,25193
Brian,Ryan,40283,oduderrac,56,rit.edu,1644689773,7553,King Dr.,81,Sagaponack,Texas,55172
Allan,Colliton,43682,password1,30,rit.edu,2049422212,7655,King Dr.,28,Wyandanch,Oregon,49643
Aaron,Black,72496,xXmetallicaFan1992Xx,43,ymail.com,-1694731670,4637,Jefferson Ave.,27,Hauppague,New York,29002
Matt,Deever,15119,qedoffifa,36,yahoo.com,-1780370585,5643,149th St.,9,Ronkonkoma,Oregon,38002
Allan,Black,69297,adsdf,25,rit.edu,-1069928661,6306,Canal St.,75,Commack,Virginia,56077
Allan,White,25450,qedoffifa,66,ymail.com,1166151684,6699,Jefferson Ave.,23,Hauppague,New York,42024
Ricky,Barzal,99804,helloWorld,59,gmail.com,1472479348,7861,Joy Ct.,27,Wyandanch,Texas,50765
Joel,Alexander-Parenteau,24408,helloWorld,43,yahoo.com,-2128894662,4507,Joy Ct.,12,Speonk,Delaware,33884
Patrick,Ryan,86594,helloWorld,54,rit.edu,1354548783,4281,James Ct.,87,Wyandanch,West Virginia,49659
Ben,Barreiros,76434,adsdf,48,ymail.com,-1163256041,5527,Harrison St.,97,Hauppague,Maine,69550
Brian,Harwitt,12279,ehofallat,99,ymail.com,1669877763,9598,Clark St.,4,Wantaugh,Oregon,42365
Matt,Colliton,105230,pdefran,62,ymail.com,1619199420,172,Joy Ct.,25,Amagansett,Louisiana,35464
Patrick,Nelson,28270,ehofallat,18,gmail.com,-1406376162,7040,Clark St.,47,Massapequa,Florida,71208
